2014/10/02                                                                                                   Regional Medical Associates - Hamilton                                                                                                     PAGE   1

  Doc   Dept    Doc   Doc Name                   Doc   Comp       Amt Mtd       Amt Ytd
  036     1       7   GRANT                      C     PAYEFT           .00    168,108.00
  03A     1       4   GILANI MED PROF CORP       A     PAYEFT           .00    190,000.00
  03E     1       4   RIBIC MED PROF CORP        CM    PAYEFT           .00    202,499.99
  03F     2      14   LEONARD MED PROF CORP      B     PAYEFT     11,638.42    463,668.92
  03H     2      44   SHAIKH MED PROF CORP       VM    PAYEFT        293.63     50,217.32
  040     2      44   LLOYD                      SR    PAYEFT           .00      6,737.25
  044     2      14   AL-SHAKMAN                 KM    PAYEFT        297.85    387,161.89
  045     1       1   LLOYD                      SR    PAYEFT           .00     80,911.00
  047     1       5   KORZEKWA                   M     PAYEFT           .00    160,598.00
  04A     1       4   GAGNON MED PROF CORP       M     PAYEFT           .00    155,000.00
  04B     1      75   NGO                        QN    PAYEFT           .00    161,309.30
  04E     1      73   HAWISA                     NI    PAYEFT      8,799.99     19,200.00
  04F     1       4   GANAME MED PROF CORP       J     PAYEFT           .26    229,167.00
  04H     2      14   DEVRAJ MED PROF CORP       A     PAYEFT     25,872.58    238,725.71
  051     1       4   BATES                      S     PAYEFT           .00    117,500.00
  052     2      14   EDGAR                      A     PAYEFT           .00        297.54
  05A     1       4   GAGNON MED PROF CORP       M     PAYEFT           .00      9,673.68
  05B     1      75   SCHWEITZER MED PROF CORP   M     PAYEFT         86.50     54,330.70
  05C     1       4   CLASE MED PROF CORP        CM    PAYEFT           .00    196,050.00
  05E     1      73   CANISIUS                   E     PAYEFT           .00     24,000.00
  05F     2      14   CHURCHILL                  D     PAYEFT           .00      9,571.72
  05H     1       4   COWAN MED PROF CORP        DD    PAYEFT           .00    106,750.00
  062     1      73   KOZENKO MED PROF CORP      M     PAYEFT           .00    165,000.00
  06A     1       1   WRIGHT                     L     PAYEFT           .00    104,124.00
  06E     1      74   DEKNA MED PROF CORP        MM    PAYEFT           .00     12,700.00
  06F     2      14   AL ABDULMOHSIN             M     PAYEFT           .00     82,202.39
  06H     2      14   COWAN MED PROF CORP        DD    PAYEFT      4,713.49     18,130.83
  070     1       1   GUENTER MED PROF CORP      D     PAYEFT           .00    112,324.00
  071     1      74   HALLETT MED PROF CORP      K     PAYEFT           .00    351,484.03
  072     1       4   MERTZ                      D     PAYEFT          1.27    202,761.00
  07A     1       1   FIELD                      CB    PAYEFT           .00      8,287.99
  07B     1       1   LAJEUNESSE MED PROF CO     A     PAYEFT           .00     41,652.00
  07E     1      75   DEKNA MED PROF CORP        MM    PAYEFT           .00     32,289.81
  07F     1       4   GELBERG                    J     PAYEFT           .00    137,500.00
  080     2      44   AZIZ                       SB    PAYEFT        179.45     50,245.25
  081     2      44   VALANI MED PROF CORP       R     PAYEFT           .00      6,251.41
  08A     2      14   AYENI MED PROF CORP        O     PAYEFT           .00     43,747.36
  08B     1       1   WALKER MED PROF CORP       K     PAYEFT         19.90    221,180.00
  08C     1       3   HARLOCK MED PROF CORP      JA    PAYEFT           .00    385,000.08
  08E     1       5   MINUZZI                    L     PAYEFT           .19    111,667.00
  08F     1       6   COSTESCU                   D     PAYEFT           .00    115,000.08
  091     1       4   SEARS                      MR    PAYEFT           .00     30,732.00
  092     2      14   COOK                       PE    PAYEFT           .00     12,092.50
  096     1      75   HAWISA                     NI    PAYEFT           .00     19,266.67
  098     1       3   PETERSON                   D     PAYEFT           .00    278,000.00
  09B     1       4   PANJU MED PROF CORP        M     PAYEFT           .00    220,000.00
  09C     1       1   LOEWITH                    RH    PAYEFT           .00     24,527.99
  09E     1       2   LE MANACH                  Y     PAYEFT           .00    145,000.00
  100     1       1   MIKLEA                     J     PAYEFT           .00    123,478.00
  10A     2      44   SINGH MED PROF CORP        J     PAYEFT      5,875.58     53,985.06
  10C     1       4   VAN SPALL MED PROF CORP    H     PAYEFT           .00    198,715.00
  10F     2      14   CUNNINGTON                 J     PAYEFT           .00     67,772.81
  10H     1       4   VAN ADEL MED PROF CORP     BA    PAYEFT           .00     70,000.00
  114     2      36   TERRY                      J     PAYEFT           .00        856.68
  115     1       4   VALETTAS                   N     PAYEFT           .00    600,000.00
  119     1       7   PORTWINE                   C     PAYEFT           .00    178,000.00
  11E     2      14   MITCHELL MED PROF CORP     T     PAYEFT           .00     17,952.09
  11F     1       1   HATCHER MED PROF CORP      L     PAYEFT           .00     80,960.00
  11H     1       1   BARRINGTON                 M     PAYEFT           .00     74,950.00
  120     1       4   LETO                       D     PAYEFT           .00     99,946.00
  128     2      13   DAUPHIN                    A     PAYEFT           .00        585.75
  129     2      14   DOWER MED PROF CORP        AM    PAYEFT     20,142.15    295,937.27
  12B     1       4   WITT-SULLIVAN MED PR CO    H     PAYEFT           .00    125,000.00
  12H     1       4   PILLAI                     G     PAYEFT           .00      6,239.99
  130     1       4   CUNNINGTON                 J     PAYEFT           .00     15,151.00
  134     1       1   KINZIE                     S     PAYEFT           .00    105,572.00
  135     1      75   MALIK MED PROF CORP        A     PAYEFT           .00     19,867.92
  137     1       4   HAYNES MED PROF CORP       RB    PAYEFT           .00    106,392.00
  13A     1       7   SCHEINEMANN MED PROF COR   K     PAYEFT           .00     62,794.51
  13B     1       4   LARCHE MED PROF CORP       M     PAYEFT           .00    113,000.00
  13C     2      14   ALATISHE                   Y     PAYEFT      1,664.24     25,240.57
  13E     1       7   MEANEY MED PROF CORP       B     PAYEFT           .53    199,707.00
  140     1      23   WATERS                     H     PAYEFT           .00     25,736.63
  143     2      14   GORDON MED PROF CORP       E     PAYEFT      9,295.31    154,188.34
  147     2      14   SULIS                      W     PAYEFT           .00    272,944.70
  148     1       7   SHAH                       JK    PAYEFT           .00    169,440.00
  14B     1      75   SULOWSKI MED PROF CO       CA    PAYEFT        332.89     54,576.53
  14C     2      36   FARAJI                     HF    PAYEFT           .00         45.42
  14E     1       7   FINDLAY MED PROF CORP      S     PAYEFT           .00    185,499.38
  14F     1       5   MIN MED PROF CORP          S     PAYEFT     15,984.00    367,017.33
  14H     1      76   DEKNA                      M     PAYEFT           .00      9,287.77
  150     2      14   HAVERS                     M     PAYEFT      2,641.76    206,251.25
  152     2      14   ELLABIB                    M     PAYEFT           .00     10,960.79
  158     1       4   VELIANOU                   J     PAYEFT           .00    166,666.49
  15A     1       4   LEGAULT                    KJ    PAYEFT           .00     65,000.00
  15B     1      75   WYATT MED PROF CORP        EL    PAYEFT           .00     85,258.00
  15C     1       7   LLOYD MED PROF CORP        R     PAYEFT           .00    220,000.00
  15E     2      14   KLINGHOFFER                O     PAYEFT        415.40    164,152.34
  15F     1      75   LOUBANI                    E     PAYEFT           .00     22,222.27
  15H     1       7   PERNICA MED PROF CORP      J     PAYEFT           .00     82,500.00
  160     1       4   LI                         Y     PAYEFT           .00    147,818.00
  163     1       1   ZAZULAK                    J     PAYEFT           .00     86,104.40
  165     1       6   SACCHINI                   C     PAYEFT           .00    135,000.00
  16B     1      75   SULOWSKI MED PROF CO       CA    PAYEFT           .00    184,990.00
  16C     2      14   MORGAN                     N     PAYEFT      6,897.89    213,640.76
  16F     1       6   CHAMBERLAIN MED PROF COR   J     PAYEFT           .00     18,333.00
  170     2      14   BLAIN MED PROF CORP        A     PAYEFT           .00    219,619.33
  171     1       1   IVANYI                     K     PAYEFT           .00    144,000.00
  172     1      17   IVANYI                     K     PAYEFT           .00      2,768.40
  173     1      75   RAZACK                     V     PAYEFT           .00     21,524.61
  174     1       1   WATERS                     H     PAYEFT           .00     87,592.06
  178     1      75   RAZACK                     V     PAYEFT           .00     30,338.00
  17B     1      75   WYATT MED PROF CORP        EL    PAYEFT           .00     17,779.70
  17C     1      23   LOEWITH                    R     PAYEFT           .00     15,621.79
  181     1       4   MONTGOMERY                 A     PAYEFT           .00    199,100.00
  184     1       4   RATHBONE MED PROF CORP     M     PAYEFT           .00    200,000.00
  185     1       7   BREAKEY                    V     PAYEFT           .00    156,380.00
  189     1       6   LOOSLEY-MILLMAN            ME    PAYEFT           .00    228,502.96
  18B     2      14   HARLOCK MED PROF CORP      JA    PAYEFT        315.32     25,735.00
  18E     1      23   FROTTEN MED PROF CORP      E     PAYEFT           .00     45,822.34
  18F     2      14   MILLER                     M     PAYEFT      3,223.29    183,945.88
  18H     1       4   MCIVOR MED PROF CORP       A     PAYEFT           .00    285,000.00
  190     1       6   SMALL                      DR    PAYEFT           .00    224,650.88
  199     1       1   SCHABORT                   I     PAYEFT           .00    122,973.00
  19A     2      14   CAPPELLO MED PROF CORP     M     PAYEFT     19,581.25    313,834.63
  19B     1      23   KOOLE MED PROF CORP        J     PAYEFT           .00     64,647.20
  19C     1       7   SAMAAN MED PROF CORP       MC    PAYEFT           .00    163,632.00
  19E     2      14   TODD MED PROF CORP         D     PAYEFT           .00    103,729.59
  19F     2      14   GOMEZ                      A     PAYEFT           .00    168,298.31
  19H     2      14   MANSOUR                    M     PAYEFT           .00      6,788.05
  19J     1       3   LEE                        J     PAYEFT           .00     88,750.00
  200     1       4   MORGAN                     DG    PAYEFT           .00    100,000.00
  20A     1       1   HALLETT MED PROF CORP      K     PAYEFT        201.33        201.33
  20B     2      41   GREENWALD                  JA    PAYEFT        154.39    116,291.52
  20C     1       5   SAMAAN MED PROF CORP       Z     PAYEFT           .00    175,000.00
  20E     2      14   LAD MED PROF CORP          TL    PAYEFT      1,039.80    214,359.62
  20F     2      14   JUNKER-ANDERSEN MED PROF   LR    PAYEFT           .00    158,074.47
  20H     1       2   KOSTANDOFF MED PROF CORP   G     PAYEFT           .67    160,000.00
  20J     1       3   GHERT MED PROF CORP        MA    PAYEFT           .00     45,333.00
  210     1       7   CHAN MED PROF CORP         AKC   PAYEFT           .00    163,000.04
  213     1       1   OW                         EJ    PAYEFT           .00      4,703.99
  214     1       3   KELLY                      S     PAYEFT           .00    300,000.00
  215     2      14   BARTOLUCCI MED PROF CORP   G     PAYEFT     12,681.70    319,575.83
  217     1      74   PARAMESWARAN               K     PAYEFT           .00     31,262.49
  21B     2      44   GREENWALD                  JA    PAYEFT           .00      9,363.27
  21C     2      14   DARBY MED PROF CORP        PJ    PAYEFT        172.60    367,386.83
  21E     1       1   BULLOCK MED PROF CORP      L     PAYEFT           .00    100,744.00
  21H     1       2   PAUL MED PROF CORP         J     PAYEFT           .00    125,000.00
  21J     1       2   CORDOVANI MED PROF CORP    D     PAYEFT           .00     35,000.00
  221     2      14   NEWKIRK                          PAYEFT        272.29        616.80
  228     1       6   FEDORKOW                   D     PAYEFT           .00     51,800.00
  229     1      72   LIM MED PROF CORP          A     PAYEFT          1.26    247,547.00
  22A     1       4   AINSWORTH                  C     PAYEFT           .00     53,333.32
  22F     2      14   HO                               PAYEFT           .00     19,324.34
  22H     1       3   DICKSON                    L     PAYEFT           .00     85,000.00
  234     1      74   LIM MED PROF CORP          A     PAYEFT           .00     74,474.17
  23A     1       4   GUZMAN MED PROF CORP       JO    PAYEFT           .00    240,000.00
  23B     2      14   ZIEBA                      I     PAYEFT     14,341.19    362,570.28
  23C     2      14   GREENWALD                  A     PAYEFT           .00      1,443.03
  23F     1       4   AINSWORTH MED PROF CORP    C     PAYEFT           .20    266,667.00
  23H     1       3   PAMPALONI MED PROF CORP    F     PAYEFT           .00     85,000.02
  23J     1       7   TWISS MED PROF CORP        J     PAYEFT           .00     49,340.00
  240     1       4   KELTON MED PROF CORP       JG    PAYEFT           .00    152,466.38
  249     1       6   DONNERY MED PROF CORP      CA    PAYEFT           .00    328,500.00
  24B     2      14   SALIH                      B     PAYEFT           .00     12,777.08
  24C     1       4   KHALID MED PROF CORP       Z     PAYEFT           .00    220,000.00
  24E     1       1   SINGH                      RG    PAYEFT           .00     89,964.00
  24F     1       3   ALGIRD                     A     PAYEFT           .00    152,163.15
  24H     2      14   PAMPALONI MED PROF CORP    F     PAYEFT     14,343.91     80,364.51
  24J     1      75   NGO MED PROF CORP          QN    PAYEFT        688.76      7,558.96
  253     2      14   BADER                      M     PAYEFT           .00     20,066.90
  257     1       7   GOLDFARB                   D     PAYEFT           .00     71,424.00
  25A     1       4   BRANDT-VEGAS               D     PAYEFT           .00    170,000.00
  25B     1       7   ALMEIDA MED PROF CORP      C     PAYEFT           .00    246,870.00
  25E     1       1   SHOUR                      RS    PAYEFT           .00     13,999.99
  25F     1       4   AMIT                       G     PAYEFT           .00    225,000.00
  25J     1      75   NGO MED PROF CORP          QN    PAYEFT           .65     53,720.00
  264     2      13   PARLEE                     K     PAYEFT           .00        786.59
  267     1      74   CHEUNG                     W     PAYEFT           .00     87,932.16
  26A     1       3   NASSAR                     A     PAYEFT           .32    205,000.00
  26C     1       4   PIESSENS                   E     PAYEFT           .00     78,000.00
  26E     1       7   KRAUS DE CAMARGO MED PRO   O     PAYEFT           .00    181,150.00
  26H     2      14   CYR                        J     PAYEFT     19,641.43    183,829.01
  26J     1       3   PARRY                      D     PAYEFT           .00     32,000.00
  272     1       3   BARONIA MED PROF CORP      BC    PAYEFT           .00     69,711.00
  273     1       4   LEVINE                     M     PAYEFT           .00     21,874.97
  27A     1       4   BACCHUS                    F     PAYEFT           .00     75,000.00
  27C     1       3   COOPER MED PROF CORP       MJ    PAYEFT           .00    355,000.00
  27E     1       2   SHANTHANNA MED PROF CORP   H     PAYEFT           .00    140,000.00
  27F     1       7   MALCOLMSON                 C     PAYEFT           .00      2,857.68
  289     1       4   JOSEPH                     P     PAYEFT           .00     70,145.85
  28C     1       5   SORENI MED PROF CORP       N     PAYEFT           .00     94,000.00
  28F     1      74   RANGANATHAN                M     PAYEFT           .00     34,225.00
  28H     1      23   BARRINGTON                 M     PAYEFT           .00     21,489.75
  28J     2      14   KAGOMA                     PK    PAYEFT      4,483.10     30,513.24
  298     2      14   MCQUEEN                    MJ    PAYEFT           .00     18,500.90
  29A     2      14   CHANDOK MED PROF CORP      N     PAYEFT        271.58    239,703.84
  29C     1       1   PATTERSON MED PROF CORP    CJS   PAYEFT      3,020.00      5,869.00
  29E     1       3   SHAWYER                    A     PAYEFT           .00     84,500.00
  29F     2      14   RANGANATHAN                M     PAYEFT           .00     12,618.39
  29H     2      42   HAWLEY MED PROF CORP       K     PAYEFT        277.93     30,296.44
  29J     1      74   RANGANATHAN MED PROF COR   M     PAYEFT           .00     29,625.57
  305     1       2   WONG                       A     PAYEFT           .00     40,000.00
  308     1       7   BAIRD MED PROF CORP        B     PAYEFT           .20    113,442.00
  30A     2      14   LAM MED PROF CORP          DBW   PAYEFT        151.53    142,699.46
  30B     1       6   SMITH                      L     PAYEFT           .00    101,143.75
  30C     2      41   GUPTA                      G     PAYEFT        418.85     80,629.57
  30E     1       5   BOURSIQUOT                 P     PAYEFT           .00     60,000.00
  30F     2      14   LASLO                      B     PAYEFT           .00     73,643.48
  30H     2      44   HAWLEY MED PROF CORP       K     PAYEFT        620.35      1,062.23
  30J     2      14   RANGANATHAN MED PROF COR   M     PAYEFT        281.68      5,751.66
  315     2      14   SAVENKOV MED PROF CORP     O     PAYEFT     29,087.24    430,339.79
  316     1       4   LEPIC                      K     PAYEFT           .00    225,000.00
  319     1       3   ARCHIBALD                  SD    PAYEFT           .00    240,000.00
  31A     1       4   TAKACH LAPNER              S     PAYEFT           .00     49,956.00
  31B     2      14   STARODUB                   J     PAYEFT           .00        114.79
  31C     2      44   GUPTA                      G     PAYEFT      7,347.46     66,333.67
  31E     4      50   DOOLER MED PROF CORP       D     PAYEFT           .00     27,749.25
  31F     2      14   GRACE                      R     PAYEFT           .00     17,087.62
  31H     2      14   CHARI MED PROF CORP        R     PAYEFT      1,404.00    128,776.72
  321     2      14   HARVEY                     JT    PAYEFT     18,552.45    433,537.41
  32A     2      14   PROFITI MED PROF CORP      R     PAYEFT           .00    141,206.49
  32C     1      75   PARAMESWARAN               K     PAYEFT           .00     33,136.25
  32E     1       6   TORRANCE                   S     PAYEFT      2,174.72    195,578.23
  32F     1       7   EL GOUHARY MED PROF CORP   E     PAYEFT           .01    141,233.00
  32J     1      75   RANGANATHAN MED PROF COR   M     PAYEFT           .00      3,739.02
  33C     2      14   STEINER MED PROF CORP      M     PAYEFT      4,262.35    214,229.72
  33E     2      14   WASSERMAN                  L     PAYEFT           .00     26,473.11
  33F     1      74   EL GOUHARY MED PROF CORP   E     PAYEFT           .00      2,700.00
  33J     1       1   ERSTLING MED PROF CORP     RS    PAYEFT      6,849.36     11,584.72
  346     1       4   DEVEREAUX MED PROF CORP    P     PAYEFT           .00     80,000.00
  34A     1       4   VAN ADEL                   BA    PAYEFT           .00     84,000.00
  34C     2      14   BRUCE MED PROF CORP        TL    PAYEFT           .00    116,891.73
  34E     1      75   DEL BEL MED PROF CORP      N     PAYEFT           .00        206.18
  34J     1      75   BRILL MED PROF CORP        H     PAYEFT           .00         30.66
  350     1       3   KAHNAMOUI MED PROF CORP    K     PAYEFT           .00    416,000.00
  351     2      14   PEAT                       M     PAYEFT           .00      3,806.19
  355     1       5   JOHNSTON                   DG    PAYEFT           .00     22,563.79
  358     1       4   WASERMAN                   S     PAYEFT           .00    160,000.00
  359     1      74   ERNST                      C     PAYEFT           .00    188,161.40
  35B     1       4   RUDKOWSKI MED PROF CORP    JC    PAYEFT           .00    228,000.00
  35C     2      14   JUNKER-ANDERSEN            L     PAYEFT           .00     37,393.96
  35E     1       4   AMER MED PROF CORP         R     PAYEFT           .00    230,000.00
  35F     1       3   ENGELS                     P     PAYEFT           .00    176,250.00
  35H     2      14   DOOBAY                     B     PAYEFT      5,055.25     51,682.58
  35J     1      75   ISSENMAN MED PROF CORP     RM    PAYEFT           .00         21.93
  36A     1       4   MCKELVIE MED PROF CORP     RS    PAYEFT           .00    155,000.00
  36B     1       3   GUPTA MED PROF CORP        MK    PAYEFT           .00    319,570.00
  36C     1      75   UMAMAHESWARAN              M     PAYEFT           .00     33,418.11
  36E     2      14   O'MALLEY                   M     PAYEFT           .00        215.73
  36F     1      76   RANGANATHAN                M     PAYEFT           .00     10,531.05
  36J     2      14   XU                         S     PAYEFT        157.00     33,851.04
  375     1       2   WOOD MED PROF CORP         C     PAYEFT           .00    190,000.00
  376     1       5   MACMILLAN                  H     PAYEFT           .00     11,168.00
  378     2      44   BRUINSMA MED PROF CORP     D     PAYEFT         53.00    136,953.99
  37C     1      75   KOELINK                    E     PAYEFT           .00     12,576.18
  37F     1       3   ENGELS                     P     PAYEFT        331.15     32,299.14
  37H     1       6   LAROCHE MED PROF CORP      A     PAYEFT           .00     46,049.26
  37J     1       4   HEALEY MED PROF CORP       J     PAYEFT           .00     40,000.00
  380     2      41   BRUINSMA MED PROF CORP     D     PAYEFT         89.73     74,656.43
  386     1       7   BASSILIOUS                 E     PAYEFT           .00    110,000.00
  387     1       1   WALSH                      A     PAYEFT           .00     66,960.00
  38B     1       7   ISSENMAN MED PROF CORP     RM    PAYEFT           .00    201,179.71
  38C     1       1   MOUNTJOY MED PROF CORP     M     PAYEFT           .00           .01
  38E     2      14   SMITH                      M     PAYEFT         37.92     27,236.67
  38F     1       6   SMITH MED PROF CORP        L     PAYEFT     14,223.52    295,019.35
  38H     1       4   MILLER                     M     PAYEFT           .00     30,000.00
  38J     1      74   BHAN MED PROF CORP         H     PAYEFT           .00      2,750.00
  392     1       4   SALEHIAN MED PROF CORP     O     PAYEFT           .00    175,000.00
  396     2      14   HELLER                     B     PAYEFT     25,700.04    614,537.16
  39A     1       4   HALDER MED PROF CORP       S     PAYEFT           .00    183,790.34
  39B     1      75   ISSENMAN MED PROF CORP     RM    PAYEFT           .00     50,088.58
  39E     1       2   FRIGON                     V     PAYEFT           .00    133,333.34
  39F     1       4   CONNOLLY                   B     PAYEFT           .00     78,750.00
  39H     1      75   VALANI MED PROF CORP       R     PAYEFT           .00     21,289.00
  402     2      41   DEL BEL MED PROF CORP      N     PAYEFT           .00     17,854.40
  405     1       4   EL-HELOU                   P     PAYEFT           .00    140,000.00
  406     1       1   MACKINNON                  J     PAYEFT           .00     87,240.00
  40A     1       4   TORRES-TREJO               A     PAYEFT           .00    180,000.00
  40B     2      14   PICARD MED PROF CORP       P     PAYEFT     24,515.49    708,648.28
  40C     1       3   TITTLEY MED PROF CORP      J     PAYEFT           .00    300,000.00
  40E     1       4   CHUNG                      H     PAYEFT           .00     59,500.00
  40F     1       7   GUBBAY MED PROF CORP       J     PAYEFT      3,962.50     18,797.07
  40H     1       2   SMITH                      R     PAYEFT           .00     13,333.34
  40J     2      14   BHAN MED PROF CORP         H     PAYEFT           .00     31,040.28
  410     1       4   KILLIAN                    K     PAYEFT           .00    151,436.00
  416     1       4   UPTON                      A     PAYEFT           .00    108,079.00
  418     2      44   DEL BEL MED PROF CORP      N     PAYEFT           .00      4,627.74
  41E     2      14   WELLS                      JD    PAYEFT        683.49    253,058.07
  41F     2      14   PARBHAKAR                  S     PAYEFT      2,596.76    392,442.99
  41H     2      14   SMITH MED PROF CORP        PE    PAYEFT        237.00     15,737.99
  424     2      14   DERUBEIS                   D     PAYEFT           .00      9,821.86
  429     1       2   BORGES MED PROF CORP       B     PAYEFT           .67    230,000.00
  42A     1       1   O'TOOLE                    D     PAYEFT           .00     52,122.52
  42E     1       4   YUAN                       G     PAYEFT           .00     56,666.68
  42F     1       7   SAMIEE                           PAYEFT           .00     88,000.00
  430     2      14   ROSENTHAL                  D     PAYEFT           .00        813.01
  434     1       6   HAMOUDI MED PROF CORP      AZ    PAYEFT           .00    340,000.00
  438     1       4   GUYATT                     GH    PAYEFT           .00     55,155.00
  43A     2      41   HANEL                      E     PAYEFT           .00     23,984.85
  43C     2      14   LIN MED PROF CORP          D     PAYEFT           .00     11,108.91
  43E     1       4   KRUISSELBRINK              R     PAYEFT           .00     76,920.05
  43J     2      14   CREECH                     M     PAYEFT           .00      5,498.89
  44A     1      75   HANEL                      E     PAYEFT           .00     11,970.13
  44C     1      76   DEKNA                      MM    PAYEFT           .00      3,500.00
  44H     2      14   TORRANCE                   S     PAYEFT      6,120.79    111,816.14
  450     1       3   CADEDDU                    M     PAYEFT           .00    310,000.00
  452     1      75   ROSENBLOOM                 E     PAYEFT      1,755.23     56,705.52
  459     1       4   RUSSELL                    JD    PAYEFT           .00     48,000.00
  45A     1      75   HANEL                      E     PAYEFT           .00     40,990.00
  45C     1       7   TIJSSEN                    J     PAYEFT           .00      1,850.00
  45E     1       4   PATRIQUIN                  C     PAYEFT           .00     90,000.00
  45H     2      44   HANEL MED PROF CORP        E     PAYEFT      3,568.33     15,136.50
  45J     1       1   O'TOOLE MED PROF CORP      D     PAYEFT           .00     16,913.84
  462     1      74   FITZPATRICK                K     PAYEFT           .00    256,899.36
  46C     1       4   BOBBA MED PROF CORP        RS    PAYEFT           .00    240,000.00
  46E     1       4   CHAN                       T     PAYEFT           .00     84,000.00
  46F     1       2   WHIPPEY                    A     PAYEFT           .00     93,333.34
  46H     2      41   HANEL MED PROF CORP        E     PAYEFT        100.74     21,673.95
  46J     1       5   CROWSON MED PROF CORP      J     PAYEFT           .00     26,000.00
  471     1       4   TURNBULL                   J     PAYEFT           .00     62,625.04
  472     1      75   ROSENBLOOM                 E     PAYEFT           .62    179,968.00
  473     1       3   FORBES MED PROF CORP       SS    PAYEFT           .00    204,000.00
  478     1       4   KERIGAN                    AT    PAYEFT           .00     12,000.00
  47A     1      75   GREEN                      J     PAYEFT           .00     20,802.35
  47E     2      42   CHAN                       T     PAYEFT      1,060.74     53,681.05
  47F     2      14   CHUI MED PROF CORP         B     PAYEFT           .00     50,160.52
  47H     1      75   HANEL MED PROF CORP        E     PAYEFT           .00      9,921.26
  480     1       7   SHERLOCK                   ME    PAYEFT           .00    148,230.00
  48A     1      75   GREEN                      J     PAYEFT           .00     68,844.00
  48E     1       4   YUDIN                      J     PAYEFT           .00     48,750.00
  48F     1      74   BHAN                       H     PAYEFT           .00     36,350.00
  48H     1      75   HANEL MED PROF CORP        E     PAYEFT           .00     27,741.00
  491     1       3   SCHIEMAN MED PROF CORP     C     PAYEFT           .00    600,000.00
  494     2      14   ALI                        A     PAYEFT           .00     72,712.84
  496     1       3   GMORA                      S     PAYEFT           .00    500,000.00
  497     1      74   GAMBAROTTO                 K     PAYEFT        296.38    207,777.21
  49E     2      41   LANGMANN MED PROF          C     PAYEFT           .00     29,875.23
  49F     1      76   BHAN                       H     PAYEFT           .00      3,650.00
  49H     1       4   KEITH MED PROF CORP        PK    PAYEFT           .00     77,083.00
  49J     1      74   EL SAYED MED PROF CORP     M     PAYEFT           .00     18,000.00
  500     1       5   WEERASEKERA MED PROF COR   P     PAYEFT           .00    120,000.00
  505     1       5   ZIPURSKY MED PROF CORP     R     PAYEFT           .00    270,326.00
  507     1      74   GIGLIA                     L     PAYEFT           .00    272,580.60
  50A     1       1   FOWLER MED PROF CORP       N     PAYEFT           .00     80,798.96
  50C     1       5   VAN LIESHOUT MED PROF CO   R     PAYEFT           .00    180,000.00
  50E     2      44   LANGMANN MED PROF          C     PAYEFT           .00     25,868.90
  50F     1       7   MARRIN MED PROF CORP       M     PAYEFT           .61    148,400.00
  50H     1       4   LEONTIADIS MED PROF CORP   GI    PAYEFT           .00     56,250.00
  513     2      14   EPPEL                      AB    PAYEFT      5,288.07     86,005.28
  518     1      73   TARNOPOLSKY MED PROF COR   M     PAYEFT           .00    300,000.00
  51C     2      38   FOLEY MED PROF CORP        SR    PAYEFT      2,010.61     29,196.09
  51E     2      41   OWEN MED PROF CORP         J     PAYEFT         32.22     37,889.13
  51F     2      37   ODASHIRO                   A     PAYEFT      1,152.58      1,968.54
  51H     2      14   SIEKIERSKI MED PROF CORP   M     PAYEFT           .00     42,358.22
  51J     2      14   CYR MED PROF CORP          MM    PAYEFT           .00          5.53
  520     1       4   BHAGIRATH                  V     PAYEFT           .00     67,000.00
