2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   1

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  C055     267.528       0.000     125.600       0.000    267.528    125.600    267.528    125.600
  C063      90.631       0.000      42.550       0.000     90.631     42.550     90.631     42.550
  C064      54.315       0.000      25.500       0.000     54.315     25.500     54.315     25.500
  C065     177.003       0.000      83.100       0.000    177.003     83.100    177.003     83.100
  C066     110.121       0.000      51.700       0.000    110.121     51.700    110.121     51.700
  C073     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C074     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C075     394.050       0.000     185.000       0.000    394.050    185.000    394.050    185.000
  C076     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C083      88.501       0.000      41.550       0.000     88.501     41.550     88.501     41.550
  C084      59.214       0.000      27.800       0.000     59.214     27.800     59.214     27.800
  C085     172.743       0.000      81.100       0.000    172.743     81.100    172.743     81.100
  C086     102.133       0.000      47.950       0.000    102.133     47.950    102.133     47.950
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   4

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C093      94.572       0.000      44.400       0.000     94.572     44.400     94.572     44.400
  C094      55.273       0.000      25.950       0.000     55.273     25.950     55.273     25.950
  C095     192.339       0.000      90.300       0.000    192.339     90.300    192.339     90.300
  C096     127.800       0.000      60.000       0.000    127.800     60.000    127.800     60.000
  C133     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C134     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C135     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  C136     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C183     167.844       0.000      78.800       0.000    167.844     78.800    167.844     78.800
  C184     132.273       0.000      62.100       0.000    132.273     62.100    132.273     62.100
  C185     375.625       0.000     176.350       0.000    375.625    176.350    375.625    176.350
  C186     180.943       0.000      84.950       0.000    180.943     84.950    180.943     84.950
  C193     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C194     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C196     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C203     101.068       0.000      47.450       0.000    101.068     47.450    101.068     47.450
  C204      63.154       0.000      29.650       0.000     63.154     29.650     63.154     29.650
  C205     216.621       0.000     101.700       0.000    216.621    101.700    216.621    101.700
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   5

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C206     115.233       0.000      54.100       0.000    115.233     54.100    115.233     54.100
  C215     101.175       0.000      47.500       0.000    101.175     47.500    101.175     47.500
  C225     351.450       0.000     165.000       0.000    351.450    165.000    351.450    165.000
  C226     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C233     122.901       0.000      57.700       0.000    122.901     57.700    122.901     57.700
  C234      62.515       0.000      29.350       0.000     62.515     29.350     62.515     29.350
  C235     175.299       0.000      82.300       0.000    175.299     82.300    175.299     82.300
  C236      97.660       0.000      45.850       0.000     97.660     45.850     97.660     45.850
  C243      87.543       0.000      41.100       0.000     87.543     41.100     87.543     41.100
  C244      58.575       0.000      27.500       0.000     58.575     27.500     58.575     27.500
  C245     165.927       0.000      77.900       0.000    165.927     77.900    165.927     77.900
  C246     103.518       0.000      48.600       0.000    103.518     48.600    103.518     48.600
  C263     165.501       0.000      77.700       0.000    165.501     77.700    165.501     77.700
  C264     126.628       0.000      59.450       0.000    126.628     59.450    126.628     59.450
  C265     355.710       0.000     167.000       0.000    355.710    167.000    355.710    167.000
  C266     194.575       0.000      91.350       0.000    194.575     91.350    194.575     91.350
  C285     217.260       0.000     102.000       0.000    217.260    102.000    217.260    102.000
  C286     151.656       0.000      71.200       0.000    151.656     71.200    151.656     71.200
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   6

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C313     157.620       0.000      74.000       0.000    157.620     74.000    157.620     74.000
  C314     138.450       0.000      65.000       0.000    138.450     65.000    138.450     65.000
  C315     389.470       0.000     182.850       0.000    389.470    182.850    389.470    182.850
  C316     194.575       0.000      91.350       0.000    194.575     91.350    194.575     91.350
  C325     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C335     106.500       0.000      50.000       0.000    106.500     50.000    106.500     50.000
  C343     165.181       0.000      77.550       0.000    165.181     77.550    165.181     77.550
  C344     126.841       0.000      59.550       0.000    126.841     59.550    126.841     59.550
  C345     324.612       0.000     152.400       0.000    324.612    152.400    324.612    152.400
  C346     211.509       0.000      99.300       0.000    211.509     99.300    211.509     99.300
  C353      95.850       0.000      45.000       0.000     95.850     45.000     95.850     45.000
  C354      55.380       0.000      26.000       0.000     55.380     26.000     55.380     26.000
  C355     170.400       0.000      80.000       0.000    170.400     80.000    170.400     80.000
  C356     118.747       0.000      55.750       0.000    118.747     55.750    118.747     55.750
  C375     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C385     180.943       0.000      84.950       0.000    180.943     84.950    180.943     84.950
  C395     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C405     179.346       0.000      84.200       0.000    179.346     84.200    179.346     84.200
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   7

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C413     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C414     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C415     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  C416     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C435     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C473     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C475     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  C476     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C483     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C484     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C485     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  C486     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C515     194.575       0.000      91.350       0.000    194.575     91.350    194.575     91.350
  C525     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C545     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C565     194.575       0.000      91.350       0.000    194.575     91.350    194.575     91.350
  C575     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C585     137.811       0.000      64.700       0.000    137.811     64.700    137.811     64.700
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   8

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C586     151.656       0.000      71.200       0.000    151.656     71.200    151.656     71.200
  C595     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C603     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C604     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C605     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  C606     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C613     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C614     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C615     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  C616     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C623     170.080       0.000      79.850       0.000    170.080     79.850    170.080     79.850
  C624     130.462       0.000      61.250       0.000    130.462     61.250    130.462     61.250
  C625     334.410       0.000     157.000       0.000    334.410    157.000    334.410    157.000
  C626     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C635     175.512       0.000      82.400       0.000    175.512     82.400    175.512     82.400
  C636     121.942       0.000      57.250       0.000    121.942     57.250    121.942     57.250
  C643      94.572       0.000      44.400       0.000     94.572     44.400     94.572     44.400
  C644      55.273       0.000      25.950       0.000     55.273     25.950     55.273     25.950
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE   9

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C645     192.339       0.000      90.300       0.000    192.339     90.300    192.339     90.300
  C646     127.800       0.000      60.000       0.000    127.800     60.000    127.800     60.000
  C655     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C665     194.575       0.000      91.350       0.000    194.575     91.350    194.575     91.350
  C675     224.182       0.000     105.250       0.000    224.182    105.250    224.182    105.250
  C735      71.781       0.000      33.700       0.000     71.781     33.700     71.781     33.700
  C745     211.509       0.000      99.300       0.000    211.509     99.300    211.509     99.300
  C775     640.491       0.000     300.700       0.000    640.491    300.700    640.491    300.700
  C777      71.781       0.000      33.700       0.000     71.781     33.700     71.781     33.700
  C813     216.621       0.000     101.700       0.000    216.621    101.700    216.621    101.700
  C815     398.203       0.000     186.950       0.000    398.203    186.950    398.203    186.950
  C895     495.651       0.000     232.700       0.000    495.651    232.700    495.651    232.700
  C903     138.556       0.000      65.050       0.000    138.556     65.050    138.556     65.050
  C905     140.367       0.000      65.900       0.000    140.367     65.900    140.367     65.900
  C933     170.187       0.000      79.900       0.000    170.187     79.900    170.187     79.900
  C945     308.317       0.000     144.750       0.000    308.317    144.750    308.317    144.750
  C983     159.750     159.750      75.000      75.000    159.750     75.000    159.750     75.000
  C985     159.750     159.750      75.000      75.000    159.750     75.000    159.750     75.000
2016/10/13                                     Regional Medical Associates - Hamilton                                       PAGE  10

  Fee   Fee Curr A  Fee Curr A  Fee Curr H  Fee Curr H   Fee Curr   Fee Curr   Fee Curr   Fee Curr
  Oma     Fee 1       Fee 2       Fee 1       Fee 2       A Min      H Min      A Max      H Max
  Cd

  C998     127.800     127.800      60.000      60.000    127.800     60.000    127.800     60.000
  C999     213.000     213.000     100.000     100.000    213.000    100.000    213.000    100.000
  G195      36.210      36.210      17.000      17.000     36.210     17.000     36.210     17.000
  G196      36.210      36.210      17.000      17.000     36.210     17.000     36.210     17.000
  G199      85.200      36.210      40.000      17.000     85.200     40.000     85.200     40.000
  G202       9.478       8.200       4.450       3.850      9.478      4.450      9.478      4.450
  G226     175.618     175.618      82.450      82.450    175.618     82.450    175.618     82.450
  G418     106.500     106.500      50.000      50.000    106.500     50.000    106.500     50.000
  G556     290.532     290.532     136.400     136.400    290.532    136.400    290.532    136.400
  G557     693.102     693.102     325.400     325.400    693.102    325.400    693.102    325.400
  P018   1,234.974       0.000     579.800       0.000  1,234.974    579.800  1,234.974    579.800
  R535   2,890.197       0.000   1,356.900       0.000  2,890.197  1,356.900  2,890.197  1,356.900
  W075     394.050       0.000     185.000       0.000    394.050    185.000    394.050    185.000
  Z209     259.008       0.000     121.600       0.000    259.008    121.600    259.008    121.600
  Z425   1,079.377       0.000     506.750       0.000  1,079.377    506.750  1,079.377    506.750



