2015/08/12                                     Regional Medical Associates - Hamilton                                       PAGE   1

   Dept    Doc   Doc  Doc Name                  AMT-INCEXP  AMT-TOTDED     DIFF     AMT-PAYPOT  AMT-ADVOUT  AMT-PAYEFT    Doc
     1       3   F54  FITZGERALD MED PROF CORP         .00         .00         .00   22,500.00         .00   22,500.00     1
     1       3   F94  PETRISOR MED PROF CORP     11,440.46         .00   11,440.46   17,083.34         .00   17,083.34     1
     1       3   G19  STRUMAS MED PROF CORP       8,837.28         .00    8,837.28   15,000.00         .00   15,000.00     1
     1       3   G23  ADILI MED PROF CORP        27,022.83         .00   27,022.83   59,500.00         .00   59,500.00     1
     1       3   G44  WALTON MED PROF CORP             .00         .00         .00   24,000.00         .00   24,000.00     1
     1       3   H20  MATSUMOTO MED PROF CORP    -3,385.95         .00   -3,385.95   37,500.00         .00   37,500.00     1
     1       3   H79  KORMAN MED PROF CORP          174.23         .00      174.23   30,000.00         .00   30,000.00     1
     1       3   H82  SEMELHAGO MED PROF CORP       131.67         .00      131.67   45,000.00         .00   45,000.00     1
     1       3   H91  SINGH                            .00         .00         .00   19,094.41         .00   19,094.41     1
     1       3   J81  SZALAY MED PROF CORP        1,638.10         .00    1,638.10   30,000.00         .00   30,000.00     1
     1       3   K35  SHAYEGAN MED PROF CORP     -3,126.01         .00   -3,126.01   45,000.00         .00   45,000.00     1
     1       3   K41  LEVIS MED PROF CORP         4,110.16         .00    4,110.16   14,000.00         .00   14,000.00     1
     1       3   L63  RUO MED PROF CORP          12,288.37         .00   12,288.37   12,500.00         .00   12,500.00     1
     1       3   M18  AMIN MED PROF CORP         -1,074.50         .00   -1,074.50   30,000.00         .00   30,000.00     1
     1       3   M70  WHITLOCK MED PROF CORP      4,508.19         .00    4,508.19   60,000.00         .00   60,000.00     1
     1       3   M83  KAPOOR MED PROF CORP       -3,695.17         .00   -3,695.17   30,000.00         .00   30,000.00     1
     1       3   N85  DATH MED PROF CORP         13,110.35         .00   13,110.35   25,000.00         .00   25,000.00     1
     1       3   N99  IYER MED PROF CORP         -3,190.96         .00   -3,190.96   21,166.66         .00   21,166.66     1
     1       3   P78  LAMY MED PROF CORP         11,882.27         .00   11,882.27   35,000.00         .00   35,000.00     1
     1       3   R67  WILLIAMS MED PROF CORP     31,953.18         .00   31,953.18   25,000.00         .00   25,000.00     1
     1       3   R94  HARVEY                       -529.22         .00     -529.22    7,500.00         .00    7,500.00     1
     1       3   T53  SIMUNOVIC MED PROF CORP      -116.66         .00     -116.66   33,333.00         .00   33,333.00     1
     1       3   T64  BAILEY                           .00         .00         .00   24,000.00         .00   24,000.00     1
     1       3   V07  DENKERS MED PROF CORP            .00         .00         .00   30,000.00         .00   30,000.00     1
     1       3   V13  SABRI MED PROF CORP         1,707.16         .00    1,707.16   40,000.00         .00   40,000.00     1
     1       3   V24  MARCACCIO MED PROF CORP    15,627.20         .00   15,627.20   27,000.00         .00   27,000.00     1
     1       3   V31  KACHUR MED PROF CORP        2,532.62         .00    2,532.62   24,000.00         .00   24,000.00     1
     1       3   V37  AVRAM MED PROF CORP        16,574.47         .00   16,574.47   23,500.00         .00   23,500.00     1
     1       3   V41  HONG MED PROF CORP         -2,971.67         .00   -2,971.67   30,000.00         .00   30,000.00     1
2015/08/12                                     Regional Medical Associates - Hamilton                                       PAGE   4

   Dept    Doc   Doc  Doc Name                  AMT-INCEXP  AMT-TOTDED     DIFF     AMT-PAYPOT  AMT-ADVOUT  AMT-PAYEFT    Doc
  Company  Dept  Nbr                                                                                                       Ep
                                                                                                                        Pay Code

     1       3   V48  ARCHIBALD MED PROF CORP    -1,035.11         .00   -1,035.11   20,500.00         .00   20,500.00     1
     1       3   V54  RAPANOS MED PROF CORP         -26.52         .00      -26.52   55,000.00         .00   55,000.00     1
     1       3   V59  CHAUDHARY MED PROF CORP    58,682.56         .00   58,682.56   70,000.00         .00   70,000.00     1
     1       3   W08  AVRAM MED PROF CORP         1,918.25         .00    1,918.25   24,000.00         .00   24,000.00     1
     1       3   W37  BURROW MED PROF CORP        3,564.96         .00    3,564.96   20,166.66         .00   20,166.66     1
     1       3   W38  BAIN MED PROF CORP         12,544.70         .00   12,544.70   27,083.34         .00   27,083.34     1
     1       3   W60  PINTHUS MED PROF CORP      -2,120.33         .00   -2,120.33   22,833.34         .00   22,833.34     1
     1       3   X23  DAVIES MED PROF CORP       -2,778.70         .00   -2,778.70   24,000.00         .00   24,000.00     1
     1       3   X30  SHARGALL MED PROF CORP     -1,905.47         .00   -1,905.47   40,000.00         .00   40,000.00     1
     1       3   X61  SNE MED PROF CORP          30,519.80         .00   30,519.80   30,000.00         .00   30,000.00     1
     1       3   Y11  TANDAN MED PROF CORP         -728.19         .00     -728.19   20,000.00         .00   20,000.00     1
     1       3   Y21  RODRIGUEZ MED PROF CORP    11,349.67         .00   11,349.67   12,500.00         .00   12,500.00     1
     1       3   Y37  ISAZA-ZAPATA MED PROF CO   25,717.78         .00   25,717.78   25,000.00         .00   25,000.00     1
     1       3   Y39  MACLEAN MED PROF CORP      17,363.28         .00   17,363.28   20,000.00         .00   20,000.00     1
     1       3   Y42  SOGBESAN MED PROF CORP     24,206.19         .00   24,206.19   24,166.66         .00   24,166.66     1

     1       3   885  REID MED PROF CORP             -2.84         .00       -2.84       -2.84        2.84         .00     2
     1       3   L50  BAILLIE MED PROF CORP        -295.19         .00     -295.19     -295.19      295.19         .00     2
     1       3   L53  KAHNAMOUI MED PROF CORP       -69.02         .00      -69.02      -69.02       69.02         .00     2

     1       4   004  TOMLINSON                  -1,352.33         .00   -1,352.33         .00         .00         .00     0
     1       4   091  SEARS                         250.48         .00      250.48         .00         .00         .00     0
     1       4   120  LETO                         -181.67         .00     -181.67         .00         .00         .00     0
     1       4   20M  LETO MED PROF CORP              4.54         .00        4.54         .00         .00         .00     0
     1       4   37E  INGRAM MED PROF CORP       -1,053.33         .00   -1,053.33         .00         .00         .00     0
     1       4   43E  KRUISSELBRINK                -629.70         .00     -629.70         .00         .00         .00     0
     1       4   459  RUSSELL                      -130.40         .00     -130.40         .00         .00         .00     0
     1       4   55E  TOUGAS MED PROF CORP       -5,149.57         .00   -5,149.57         .00         .00         .00     0
     1       4   65C  BAW MED PROF CORP                .10         .00         .10         .00         .00         .00     0
     1       4   67H  CHUNG MED PROF CORP          -545.43         .00     -545.43         .00         .00         .00     0
     1       4   72F  SRIGLEY MED PROF CORP           -.15         .00        -.15         .00         .00         .00     0
     1       4   72L  DUNCAN MED PROF CORP         -769.35         .00     -769.35         .00         .00         .00     0
     1       4   73F  REINISCH                      -72.04         .00      -72.04         .00         .00         .00     0
     1       4   77J  ABDELSHAHEED                4,743.51         .00    4,743.51         .00         .00         .00     0
     1       4   79H  NG                           -188.85         .00     -188.85         .00         .00         .00     0
     1       4   92E  SYED MED PROF CORP         -2,125.73         .00   -2,125.73         .00         .00         .00     0
     1       4   93E  GRENNAN                         -.31         .00        -.31         .00         .00         .00     0
     1       4   95J  TANG                       10,050.00         .00   10,050.00         .00         .00         .00     0
     1       4   D09  SCHULMAN                   24,569.25         .00   24,569.25         .00         .00         .00     0
     1       4   D80  LUDWIN MED PROF CORP         -207.99         .00     -207.99         .00         .00         .00     0
     1       4   E46  SPENCER                       -79.85         .00      -79.85         .00         .00         .00     0
     1       4   F13  CONNOLLY MED PROF CORP       -219.69         .00     -219.69         .00         .00         .00     0
     1       4   G74  HOLDER MED PROF CORP         -106.18         .00     -106.18         .00         .00         .00     0
     1       4   K10  STANTON MED PROF CORP      -1,148.93         .00   -1,148.93         .00         .00         .00     0
     1       4   X21  PATTERSON MED PROF CORP       -94.61         .00      -94.61         .00         .00         .00     0

     1       4   00M  MENON MED PROF CORP              .00         .00         .00   14,166.66         .00   14,166.66     1
     1       4   01M  NG MED PROF CORP            7,648.87         .00    7,648.87   16,666.66         .00   16,666.66     1
     1       4   021  ST. ONGE                    6,703.12         .00    6,703.12    6,875.00         .00    6,875.00     1
     1       4   02F  IORIO MED PROF CORP        10,040.60         .00   10,040.60    4,833.34         .00    4,833.34     1
     1       4   02L  STEWART MED PROF CORP            .00         .00         .00    7,500.00         .00    7,500.00     1
     1       4   030  HART                        1,337.89         .00    1,337.89    5,000.00         .00    5,000.00     1
     1       4   03A  GILANI MED PROF CORP          976.76         .00      976.76   15,833.34         .00   15,833.34     1
     1       4   03E  RIBIC MED PROF CORP        -1,720.63         .00   -1,720.63   15,833.34         .00   15,833.34     1
2015/08/12                                     Regional Medical Associates - Hamilton                                       PAGE   5

   Dept    Doc   Doc  Doc Name                  AMT-INCEXP  AMT-TOTDED     DIFF     AMT-PAYPOT  AMT-ADVOUT  AMT-PAYEFT    Doc
  Company  Dept  Nbr                                                                                                       Ep
                                                                                                                        Pay Code

     1       4   04A  GAGNON MED PROF CORP       12,595.82         .00   12,595.82   12,916.66         .00   12,916.66     1
     1       4   04F  GANAME MED PROF CORP       48,014.71         .00   48,014.71   20,833.34         .00   20,833.34     1
     1       4   051  BATES                       3,189.40         .00    3,189.40    8,333.34         .00    8,333.34     1
     1       4   05C  CLASE MED PROF CORP         8,439.38         .00    8,439.38   11,375.00         .00   11,375.00     1
     1       4   05H  COWAN MED PROF CORP        14,868.75         .00   14,868.75   15,250.00         .00   15,250.00     1
     1       4   072  MERTZ                           6.87         .00        6.87   15,416.66         .00   15,416.66     1
     1       4   09B  PANJU MED PROF CORP         4,034.40         .00    4,034.40   18,333.34         .00   18,333.34     1
     1       4   10C  VAN SPALL MED PROF CORP     1,914.30         .00    1,914.30   18,333.34         .00   18,333.34     1
     1       4   10H  VAN ADEL MED PROF CORP     16,042.39         .00   16,042.39   25,000.00         .00   25,000.00     1
     1       4   115  VALETTAS                   -1,216.59         .00   -1,216.59   50,000.00         .00   50,000.00     1
     1       4   12B  WITT-SULLIVAN MED PR CO     2,078.47         .00    2,078.47   10,416.66         .00   10,416.66     1
     1       4   137  HAYNES MED PROF CORP        1,075.84         .00    1,075.84    8,866.00         .00    8,866.00     1
     1       4   13B  LARCHE MED PROF CORP       -2,135.03         .00   -2,135.03    9,416.66         .00    9,416.66     1
     1       4   14M  WANG                             .00         .00         .00    4,166.66         .00    4,166.66     1
     1       4   158  VELIANOU                    6,084.97   16,666.67  -10,581.70   33,333.34         .00   16,666.67     1
     1       4   15A  LEGAULT                    12,656.65         .00   12,656.65   17,083.34         .00   17,083.34     1
     1       4   16K  CARMONA MED PROF CORP      11,589.39         .00   11,589.39   16,000.00         .00   16,000.00     1
     1       4   16M  LERNER                      5,832.79         .00    5,832.79    6,833.34         .00    6,833.34     1
     1       4   181  MONTGOMERY                  1,944.30       75.00    1,869.30   20,666.66         .00   20,591.66     1
     1       4   184  RATHBONE MED PROF CORP       -689.78         .00     -689.78   16,666.66         .00   16,666.66     1
     1       4   18H  MCIVOR MED PROF CORP       21,705.66         .00   21,705.66   47,500.00         .00   47,500.00     1
     1       4   19K  GELBERG MED PROF CORP      13,101.22         .00   13,101.22   18,750.00         .00   18,750.00     1
     1       4   21K  ATTAR MED PROF              8,257.10         .00    8,257.10   15,000.00         .00   15,000.00     1
     1       4   21L  CHAGLA MED PROF CORP       14,796.44         .00   14,796.44   14,583.34         .00   14,583.34     1
     1       4   23A  GUZMAN MED PROF CORP       -1,896.00         .00   -1,896.00   20,000.00         .00   20,000.00     1
     1       4   23F  AINSWORTH MED PROF CORP    29,389.14         .00   29,389.14   39,583.34         .00   39,583.34     1
     1       4   240  KELTON MED PROF CORP          -30.20         .00      -30.20   12,333.34         .00   12,333.34     1
     1       4   24C  KHALID MED PROF CORP          881.37         .00      881.37   18,333.34         .00   18,333.34     1
     1       4   24M  SPENCER MED PROF CORP      10,468.89       75.00   10,393.89    8,333.34         .00    8,258.34     1
     1       4   25F  AMIT                       10,816.13         .00   10,816.13   25,000.00         .00   25,000.00     1
     1       4   25L  MORGAN MED PROF CORP        9,577.75         .00    9,577.75    8,333.34         .00    8,333.34     1
     1       4   26C  PIESSENS                    5,430.88    3,500.00    1,930.88   10,000.00         .00    6,500.00     1
     1       4   26M  ROCHWERG MED PROF CORP      9,007.35         .00    9,007.35    9,166.66         .00    9,166.66     1
     1       4   273  LEVINE                       -593.71    5,416.67   -6,010.38    8,333.34         .00    2,916.67     1
     1       4   27L  PARDHAN MED PROF CORP      11,253.50         .00   11,253.50   38,333.34         .00   38,333.34     1
     1       4   27M  SAFFIE                           .00         .00         .00    5,000.00         .00    5,000.00     1
     1       4   289  JOSEPH                        673.53    5,416.67   -4,743.14   10,833.34         .00    5,416.67     1
     1       4   29M  TSANG MED PROF CORP         5,387.12         .00    5,387.12   41,666.66         .00   41,666.66     1
     1       4   316  LEPIC                        -488.69         .00     -488.69   18,750.00         .00   18,750.00     1
     1       4   31K  LEONG                        -511.79         .00     -511.79   21,250.00         .00   21,250.00     1
     1       4   33M  GIBSON                           .00         .00         .00    7,083.34         .00    7,083.34     1
     1       4   346  DEVEREAUX MED PROF CORP      -784.69         .00     -784.69    6,666.66         .00    6,666.66     1
     1       4   34M  ZELLER                           .00         .00         .00    5,833.34         .00    5,833.34     1
     1       4   358  WASERMAN                      406.74         .00      406.74   13,333.34         .00   13,333.34     1
     1       4   35B  RUDKOWSKI MED PROF CORP      -510.52         .00     -510.52   19,000.00         .00   19,000.00     1
     1       4   35E  AMER MED PROF CORP         -1,418.21         .00   -1,418.21   15,833.34         .00   15,833.34     1
     1       4   35M  STACEY                           .00         .00         .00    5,833.34         .00    5,833.34     1
     1       4   36A  MCKELVIE MED PROF CORP       -667.92         .00     -667.92   12,916.66         .00   12,916.66     1
     1       4   37J  HEALEY MED PROF CORP        6,638.63         .00    6,638.63   20,000.00         .00   20,000.00     1
     1       4   392  SALEHIAN MED PROF CORP        118.70         .00      118.70   36,583.34         .00   36,583.34     1
     1       4   39A  HALDER MED PROF CORP         -359.33         .00     -359.33   17,750.00         .00   17,750.00     1
     1       4   39F  CONNOLLY                     -927.62         .00     -927.62   16,666.66         .00   16,666.66     1
     1       4   405  EL-HELOU                     -657.05         .00     -657.05    9,000.00         .00    9,000.00     1
     1       4   40A  TORRES-TREJO               -1,033.15         .00   -1,033.15   15,000.00         .00   15,000.00     1
2015/08/12                                     Regional Medical Associates - Hamilton                                       PAGE   6

